term_str,PC0,PC1,PC2,PC3,PC4
asleep,-0.006313398147921248,-0.0019046191433668533,0.004377801433922934,-0.0035621937723267928,-0.00022012765460450559
world,-0.0015768682440262445,-0.00045806642364936985,-0.001478364961584857,0.0030610176163411054,-0.0001439171083319312
eyes,-0.0020675075968990325,0.00040867255564288,2.5329165473068598e-05,-0.003799102169931323,-0.002431100294974148
cook,-0.012817019027552378,-0.0012349082665816457,0.018440904541611534,-0.023037294913706187,-0.004000442231009383
dwarf,-0.018062725137951822,-0.006576229797730583,-0.00045684974462100055,0.03184866845995505,0.061427733649973004
flew,0.0016010670445852548,-0.0010783759877866634,-0.0006586324530164377,0.002694799231868492,-0.0006857420623053189
until,0.00042758328997475736,0.0033082196550204344,0.007778589386667128,-0.009506990484794831,0.0025721524729036722
sitting,-0.0022003440167458867,0.000728450701267795,-0.0019366670966653365,-0.0029099280796327925,0.004461001918482826
girl,-0.008007187202345369,0.020760513430674248,0.004935098201783889,-0.007479281835071072,-0.0027852827883154724
own,-0.005236062527419122,-0.0010578453911223081,0.0011819911296905119,-0.0010663947776620667,-0.0026492886561101992
